time/ms;Fluo/V;P700 deltaI/I x10³;
-199.8000;0.2613;0.6163;
-199.5000;0.2621;0.5926;
-199.2000;0.2613;0.5452;
-198.9000;0.2637;0.5926;
-198.6000;0.2621;0.5452;
-198.3000;0.2629;0.5215;
-198.0000;0.2637;0.4978;
-197.7000;0.2637;0.5215;
-197.4000;0.2621;0.4741;
-197.1000;0.2646;0.5452;
-196.8000;0.2654;0.5452;
-196.5000;0.2646;0.5215;
-196.2000;0.2646;0.4741;
-195.9000;0.2646;0.4978;
-195.6000;0.2662;0.5689;
-195.3000;0.2637;0.5215;
-195.0000;0.2637;0.5215;
-194.7000;0.2654;0.5452;
-194.4000;0.2637;0.5215;
-194.1000;0.2654;0.5452;
-193.8000;0.2654;0.5689;
-193.5000;0.2637;0.5215;
-193.2000;0.2637;0.5215;
-192.9000;0.2637;0.5452;
-192.6000;0.2654;0.5926;
-192.3000;0.2637;0.5452;
-192.0000;0.2637;0.5452;
-191.7000;0.2646;0.5926;
-191.4000;0.2629;0.5689;
-191.1000;0.2654;0.5689;
-190.8000;0.2654;0.5452;
-190.5000;0.2646;0.5452;
-190.2000;0.2637;0.5689;
-189.9000;0.2654;0.5926;
-189.6000;0.2654;0.5689;
-189.3000;0.2646;0.6163;
-189.0000;0.2654;0.6400;
-188.7000;0.2662;0.6400;
-188.4000;0.2637;0.5689;
-188.1000;0.2654;0.6163;
-187.8000;0.2646;0.5926;
-187.5000;0.2646;0.5452;
-187.2000;0.2646;0.5926;
-186.9000;0.2637;0.5689;
-186.6000;0.2646;0.5452;
-186.3000;0.2629;0.5452;
-186.0000;0.2621;0.4978;
-185.7000;0.2662;0.5452;
-185.4000;0.2629;0.4741;
-185.1000;0.2646;0.4978;
-184.8000;0.2654;0.5452;
-184.5000;0.2646;0.5689;
-184.2000;0.2637;0.5215;
-183.9000;0.2654;0.5689;
-183.6000;0.2629;0.5452;
-183.3000;0.2654;0.5452;
-183.0000;0.2646;0.5215;
-182.7000;0.2662;0.5215;
-182.4000;0.2646;0.4741;
-182.1000;0.2654;0.5215;
-181.8000;0.2662;0.5689;
-181.5000;0.2646;0.5926;
-181.2000;0.2637;0.5452;
-180.9000;0.2646;0.5689;
-180.6000;0.2654;0.6163;
-180.3000;0.2646;0.5689;
-180.0000;0.2637;0.5452;
-179.7000;0.2646;0.5689;
-179.4000;0.2629;0.5452;
-179.1000;0.2646;0.5689;
-178.8000;0.2646;0.6163;
-178.5000;0.2654;0.5926;
-178.2000;0.2637;0.5452;
-177.9000;0.2654;0.5926;
-177.6000;0.2646;0.5689;
-177.3000;0.2646;0.5689;
-177.0000;0.2646;0.6163;
-176.7000;0.2654;0.6400;
-176.4000;0.2637;0.5452;
-176.1000;0.2670;0.5926;
-175.8000;0.2646;0.5689;
-175.5000;0.2654;0.6163;
-175.2000;0.2637;0.5689;
-174.9000;0.2637;0.5689;
-174.6000;0.2654;0.5926;
-174.3000;0.2629;0.5452;
-174.0000;0.2637;0.5689;
-173.7000;0.2654;0.5926;
-173.4000;0.2637;0.5215;
-173.1000;0.2654;0.6400;
-172.8000;0.2637;0.6637;
-172.5000;0.2662;0.6163;
-172.2000;0.2637;0.5926;
-171.9000;0.2646;0.5689;
-171.6000;0.2646;0.5926;
-171.3000;0.2646;0.5689;
-171.0000;0.2646;0.5452;
-170.7000;0.2654;0.5689;
-170.4000;0.2637;0.5452;
-170.1000;0.2662;0.5926;
-169.8000;0.2646;0.5215;
-169.5000;0.2654;0.5452;
-169.2000;0.2637;0.5215;
-168.9000;0.2654;0.5926;
-168.6000;0.2654;0.6163;
-168.3000;0.2629;0.5452;
-168.0000;0.2646;0.5926;
-167.7000;0.2654;0.5926;
-167.4000;0.2637;0.5215;
-167.1000;0.2662;0.5926;
-166.8000;0.2646;0.5689;
-166.5000;0.2654;0.5926;
-166.2000;0.2629;0.5452;
-165.9000;0.2646;0.5926;
-165.6000;0.2654;0.5926;
-165.3000;0.2654;0.5689;
-165.0000;0.2654;0.5689;
-164.7000;0.2662;0.5926;
-164.4000;0.2637;0.5452;
-164.1000;0.2646;0.5926;
-163.8000;0.2646;0.5926;
-163.5000;0.2654;0.5689;
-163.2000;0.2629;0.5215;
-162.9000;0.2654;0.5689;
-162.6000;0.2646;0.5926;
-162.3000;0.2654;0.5689;
-162.0000;0.2654;0.5452;
-161.7000;0.2654;0.5689;
-161.4000;0.2637;0.5452;
-161.1000;0.2654;0.5689;
-160.8000;0.2646;0.5689;
-160.5000;0.2646;0.5452;
-160.2000;0.2637;0.5215;
-159.9000;0.2654;0.5452;
-159.6000;0.2646;0.5452;
-159.3000;0.2646;0.5689;
-159.0000;0.2654;0.5926;
