MC5;
time/s;Fluo/V;P700 deltaI/I x10³;
4.340;0.0081;0.0205;
4.360;0.0081;0.0533;
4.380;0.0037;0.0656;
4.400;0.0037;0.0492;
4.420;0.0037;0.0492;
4.440;0.0002;0.0000;
4.460;0.0002;0.0410;
4.480;-0.0012;0.0451;
4.500;-0.0012;0.0697;
4.520;-0.0012;-0.0287;
4.540;-0.0060;0.0246;
4.560;-0.0060;-0.0123;
4.580;0.0026;0.0820;
4.600;0.0026;0.0820;
4.620;0.0026;0.0164;
4.640;0.0015;-0.0533;
4.660;0.0015;0.0779;
4.680;-0.0139;-0.0041;
4.700;-0.0139;0.0820;
4.720;-0.0139;0.0164;
4.740;0.0047;0.0410;
4.760;0.0047;0.0328;
4.780;0.0038;0.0410;
4.800;0.0038;0.0369;
4.820;0.0038;0.0123;
4.840;-0.0008;0.0369;
4.860;-0.0008;0.0041;
4.880;-0.0044;-0.0410;
4.900;-0.0044;0.0328;
4.920;-0.0044;-0.0041;
4.940;0.0049;0.0246;
4.960;0.0049;0.0451;
4.980;0.0063;-0.0246;
5.000;0.0063;0.0533;
5.020;0.0063;0.0246;
5.040;-0.0003;0.0533;
5.060;-0.0003;0.0164;
5.080;0.0044;0.0041;
5.100;0.0044;-0.0082;
5.120;0.0044;0.0492;
5.140;0.0027;0.0410;
5.160;0.0027;0.0000;
5.180;0.0006;-0.0369;
5.200;0.0006;-11.0807;
5.220;0.0006;1.1647;
5.240;-0.0003;1.0375;
5.260;-0.0003;1.0457;
5.280;-0.0002;1.0211;
5.300;-0.0002;0.9473;
5.320;-0.0002;0.9842;
5.340;-0.0055;1.0334;
5.360;-0.0055;0.9842;
5.380;-0.0076;0.9842;
5.400;-0.0076;0.9309;
5.420;-0.0076;0.9268;
5.440;-0.0069;1.0170;
5.460;-0.0069;0.9842;
5.480;-0.0006;0.8981;
5.500;-0.0006;0.9842;
5.520;-0.0006;0.9350;
5.540;-0.0046;0.8899;
5.560;-0.0046;1.0170;
5.580;-0.0012;0.9022;
5.600;-0.0012;0.8448;
5.620;-0.0012;1.0047;
5.640;0.0047;0.9760;
5.660;0.0047;0.9350;
5.680;0.0002;0.8694;
5.700;0.0002;0.8940;
5.720;0.0002;0.9227;
5.740;-0.0040;0.8817;
5.760;-0.0040;0.9719;
5.780;0.0061;0.9350;
5.800;0.0061;0.9227;
5.820;0.0061;0.8243;
5.840;0.0020;0.8407;
5.860;0.0020;0.9637;
5.880;-0.0017;0.8817;
5.900;-0.0017;0.9227;
5.920;-0.0017;0.9063;
5.940;-0.0027;0.8325;
5.960;-0.0027;0.7956;
5.980;0.0026;0.9022;
6.000;0.0026;0.8694;
6.020;0.0026;0.8735;
6.040;0.0041;0.8120;
6.060;0.0041;0.8940;
