time/ms;Fluo/V;P700 deltaI/I x10³;
-199.8000;0.3940;1.5171;
-199.5000;0.3940;1.5408;
-199.2000;0.3932;1.5171;
-198.9000;0.3932;1.5408;
-198.6000;0.3948;1.4934;
-198.3000;0.3940;1.4934;
-198.0000;0.3940;1.5171;
-197.7000;0.3948;1.5171;
-197.4000;0.3956;1.5171;
-197.1000;0.3948;1.4934;
-196.8000;0.3940;1.4697;
-196.5000;0.3948;1.5408;
-196.2000;0.3940;1.4697;
-195.9000;0.3940;1.5645;
-195.6000;0.3940;1.5171;
-195.3000;0.3948;1.5408;
-195.0000;0.3940;1.4934;
-194.7000;0.3940;1.4934;
-194.4000;0.3956;1.5408;
-194.1000;0.3932;1.4697;
-193.8000;0.3932;1.4934;
-193.5000;0.3940;1.5408;
-193.2000;0.3923;1.5171;
-192.9000;0.3948;1.5645;
-192.6000;0.3932;1.5408;
-192.3000;0.3940;1.5408;
-192.0000;0.3932;1.4697;
-191.7000;0.3932;1.4697;
-191.4000;0.3956;1.5408;
-191.1000;0.3932;1.4697;
-190.8000;0.3932;1.4934;
-190.5000;0.3948;1.5171;
-190.2000;0.3940;1.4934;
-189.9000;0.3932;1.4934;
-189.6000;0.3964;1.5408;
-189.3000;0.3940;1.4460;
-189.0000;0.3932;1.4697;
-188.7000;0.3940;1.3986;
-188.4000;0.3964;1.4460;
-188.1000;0.3940;1.4460;
-187.8000;0.3948;1.4223;
-187.5000;0.3940;1.4697;
-187.2000;0.3932;1.4697;
-186.9000;0.3940;1.4934;
-186.6000;0.3940;1.4934;
-186.3000;0.3940;1.5408;
-186.0000;0.3923;1.5171;
-185.7000;0.3932;1.5408;
-185.4000;0.3948;1.5882;
-185.1000;0.3940;1.4934;
-184.8000;0.3940;1.5171;
-184.5000;0.3923;1.5171;
-184.2000;0.3964;1.5171;
-183.9000;0.3915;1.4460;
-183.6000;0.3956;1.5171;
-183.3000;0.3940;1.5408;
-183.0000;0.3932;1.4934;
-182.7000;0.3932;1.4934;
-182.4000;0.3956;1.5645;
-182.1000;0.3940;1.5171;
-181.8000;0.3940;1.5645;
-181.5000;0.3940;1.5645;
-181.2000;0.3932;1.5645;
