MC4;
time/s;Fluo/V;P700 deltaI/I x10³;
0.000;0.0052;0.5044;
0.020;-0.0020;0.5741;
0.040;-0.0020;0.6233;
0.060;0.0052;0.5864;
0.080;0.0052;0.4962;
0.100;0.0052;0.5372;
0.120;-0.0066;0.5823;
0.140;-0.0066;0.6110;
0.160;0.0003;0.5495;
0.180;0.0003;0.5331;
0.200;0.0003;0.5659;
0.220;0.0089;0.6069;
0.240;0.0089;0.5536;
0.260;0.0023;0.5495;
0.280;0.0023;0.5536;
0.300;0.0023;0.6110;
0.320;0.0056;0.5823;
0.340;0.0056;0.6028;
0.360;-0.0006;0.5167;
0.380;-0.0006;0.5782;
0.400;-0.0006;0.5946;
0.420;-0.0020;0.6151;
0.440;-0.0020;0.5823;
0.460;0.0009;0.5782;
0.480;0.0009;0.5454;
0.500;0.0009;0.5700;
0.520;0.0037;0.5905;
0.540;0.0037;0.5864;
0.560;-0.0023;0.5864;
0.580;-0.0023;0.5536;
0.600;-0.0023;0.5987;
0.620;-0.0046;0.4921;
0.640;-0.0046;0.6069;
0.660;0.0009;0.5208;
0.680;0.0009;0.5126;
0.700;0.0009;0.5782;
0.720;0.0041;0.6028;
0.740;0.0041;0.6069;
0.760;-0.0029;0.5823;
0.780;-0.0029;0.5823;
0.800;-0.0029;0.5782;
0.820;0.0009;0.5290;
0.840;0.0009;0.5659;
0.860;0.0032;0.5413;
0.880;0.0032;0.6028;
0.900;0.0032;0.5700;
0.920;0.0089;0.6110;
0.940;0.0089;0.5946;
0.960;0.0008;0.5659;
0.980;0.0008;0.5413;
1.000;0.0008;0.5741;
1.020;0.0061;0.5536;
1.040;0.0061;0.5372;
1.060;0.0015;168.8438;
1.080;0.0015;0.0205;
1.100;0.0015;0.0287;
1.120;-0.0034;0.0697;
1.140;-0.0034;0.0205;
1.160;-0.0064;0.0287;
1.180;-0.0064;0.0328;
1.200;-0.0064;0.0082;
1.220;0.0029;0.0369;
1.240;0.0029;0.0246;
1.260;-0.0034;0.0000;
1.280;-0.0034;0.0328;
1.300;-0.0034;-0.0287;
1.320;0.0049;0.0697;
1.340;0.0049;0.0574;
1.360;0.0079;0.0041;
1.380;0.0079;0.0328;
1.400;0.0079;0.0164;
1.420;0.0000;-0.0041;
1.440;0.0000;-0.0082;
1.460;-0.0003;0.0000;
1.480;-0.0003;0.0656;
1.500;-0.0003;0.0000;
1.520;-0.0053;0.0000;
1.540;-0.0053;-0.0164;
1.560;-0.0014;0.0369;
1.580;-0.0014;0.0574;
1.600;-0.0014;0.0041;
1.620;-0.0032;-0.0082;
1.640;-0.0032;0.0205;
1.660;-0.0032;0.0615;
1.680;-0.0032;0.0451;
1.700;-0.0032;0.0246;
1.720;-0.0021;-0.0410;
1.740;-0.0021;0.0574;
1.760;0.0000;0.0041;
1.780;0.0000;0.0656;
1.800;0.0000;-0.0451;
1.820;-0.0021;0.0328;
1.840;-0.0021;-0.0451;
1.860;0.0000;0.0123;
1.880;0.0000;0.0246;
1.900;0.0000;0.0041;
1.920;-0.0014;-0.0082;
1.940;-0.0014;-0.0082;
1.960;0.0018;0.0246;
1.980;0.0018;0.0533;
2.000;0.0018;-0.0082;
2.020;-0.0168;-0.0205;
2.040;-0.0168;0.0451;
2.060;0.0043;-0.0246;
2.080;0.0043;0.0615;
2.100;0.0043;-0.0410;
2.120;0.0011;0.0287;
2.140;0.0011;0.0000;
2.160;0.0079;0.0615;
2.180;0.0079;0.0492;
2.200;0.0079;0.0410;
2.220;0.0052;0.0205;
2.240;0.0052;0.0410;
2.260;0.0008;0.0000;
2.280;0.0008;0.0533;
2.300;0.0008;0.0246;
2.320;-0.0023;0.0246;
2.340;-0.0023;0.0082;
2.360;0.0038;0.0205;
2.380;0.0038;0.0123;
2.400;0.0038;0.0738;
2.420;-0.0037;0.0287;
2.440;-0.0037;0.0369;
2.460;-0.0031;0.0287;
2.480;-0.0031;0.1025;
2.500;-0.0031;0.0041;
2.520;0.0043;0.0205;
2.540;0.0043;0.0410;
2.560;0.0053;-0.0246;
2.580;0.0053;0.0246;
2.600;0.0053;-0.0205;
2.620;0.0008;0.0615;
2.640;0.0008;0.0287;
2.660;-0.0055;-0.0328;
2.680;-0.0055;0.0164;
2.700;-0.0055;0.0410;
2.720;0.0070;0.0615;
2.740;0.0070;0.0574;
2.760;-0.0031;0.0246;
2.780;-0.0031;0.0164;
2.800;-0.0031;0.0041;
2.820;0.0003;0.0287;
2.840;0.0003;0.0533;
2.860;0.0098;0.0205;
2.880;0.0098;-0.0164;
2.900;0.0098;0.0287;
