MC6;
time/s;Fluo/V;P700 deltaI/I x10³;
0.000;0.2724;0.5144;
0.020;0.2724;0.5320;
0.040;0.2724;0.6947;
0.060;0.2814;0.5892;
0.080;0.2814;0.5672;
0.100;0.2705;0.6375;
0.120;0.2705;0.5672;
0.140;0.2705;0.6287;
0.160;0.2735;0.5892;
0.180;0.2735;0.5848;
0.200;0.2738;0.5892;
0.220;0.2738;0.6200;
0.240;0.2738;0.6112;
0.260;0.2685;0.6507;
0.280;0.2685;0.6243;
0.300;0.2767;0.6287;
0.320;0.2767;0.6156;
0.340;0.2767;0.5584;
0.360;0.2730;0.5892;
0.380;0.2730;0.5320;
0.400;0.2674;0.5672;
0.420;0.2674;0.5892;
0.440;0.2674;0.5144;
0.460;0.2712;0.6419;
0.480;0.2712;0.5936;
0.500;0.2712;0.5188;
0.520;0.2712;0.5936;
0.540;0.2712;0.5760;
0.560;0.2660;0.5892;
0.580;0.2660;0.5848;
0.600;0.2746;0.5584;
0.620;0.2746;0.5936;
0.640;0.2746;0.6112;
0.660;0.2645;0.5496;
0.680;0.2645;0.5760;
0.700;0.2665;0.5980;
0.720;0.2665;0.5936;
0.740;0.2665;0.5452;
0.760;0.2767;0.6551;
0.780;0.2767;0.5980;
0.800;0.2737;0.6024;
0.820;0.2737;0.5672;
0.840;0.2737;0.5056;
0.860;0.2766;0.5716;
0.880;0.2766;0.5892;
0.900;0.2767;0.6595;
0.920;0.2767;0.5232;
0.940;0.2767;0.5980;
0.960;0.2752;0.6551;
0.980;0.2752;0.5364;
1.000;0.2752;0.6287;
1.020;0.2752;0.5056;
1.040;0.2752;0.5276;
1.060;0.2700;0.5452;
1.080;0.2700;0.6287;
1.100;0.2706;0.6068;
1.120;0.2706;0.5408;
1.140;0.2706;0.5276;
1.160;0.2795;0.5496;
1.180;0.2795;0.6068;
1.200;0.2746;0.5848;
1.220;0.2746;0.5364;
1.240;0.2746;0.5364;
1.260;0.2656;0.5496;
1.280;0.2656;0.5540;
1.300;0.2648;0.6024;
1.320;0.2648;0.5100;
1.340;0.2648;0.4705;
1.360;0.2712;0.5760;
1.380;0.2712;0.6024;
1.400;0.2787;0.5496;
1.420;0.2787;0.5584;
1.440;0.2787;0.5628;
1.460;0.2753;0.5540;
1.480;0.2753;0.5584;
1.500;0.2753;0.5980;
1.520;0.2753;0.5408;
1.540;0.2753;0.5452;
1.560;0.2766;0.5232;
1.580;0.2766;0.5320;
1.600;0.2660;0.5496;
1.620;0.2660;0.4353;
1.640;0.2660;0.5320;
1.660;0.2720;0.5364;
1.680;0.2720;0.4749;
1.700;0.2668;0.5980;
1.720;0.2668;0.5364;
1.740;0.2668;0.5936;
1.760;0.2724;0.5980;
1.780;0.2724;0.4793;
1.800;0.2726;0.5408;
1.820;0.2726;0.6156;
1.840;0.2726;0.5628;
1.860;0.2700;0.5936;
1.880;0.2700;0.5760;
1.900;0.2676;0.5364;
1.920;0.2676;0.6419;
1.940;0.2676;0.5496;
1.960;0.2753;0.5320;
1.980;0.2753;0.4749;
2.000;0.2787;0.5716;
2.020;0.2787;0.5804;
2.040;0.2787;0.5628;
2.060;0.2668;0.5056;
2.080;0.2668;0.5144;
2.100;0.2671;0.4968;
2.120;0.2671;0.5716;
2.140;0.2671;0.6024;
2.160;0.2730;0.5496;
2.180;0.2730;0.4573;
2.200;0.2709;0.6331;
2.220;0.2709;0.6024;
2.240;0.2709;0.5408;
2.260;0.2749;0.5804;
2.280;0.2749;0.5232;
2.300;0.2708;0.5232;
2.320;0.2708;0.5144;
2.340;0.2708;0.6068;
2.360;0.2735;0.5100;
2.380;0.2735;0.5056;
2.400;0.2816;0.5056;
2.420;0.2816;0.5980;
2.440;0.2816;0.6156;
2.460;0.2773;0.5628;
2.480;0.2773;0.6463;
2.500;0.2784;0.5408;
2.520;0.2784;0.5364;
2.540;0.2784;0.6595;
2.560;0.2627;0.6243;
2.580;0.2627;0.5936;
2.600;0.2671;0.6243;
2.620;0.2671;0.5232;
2.640;0.2671;0.5540;
2.660;0.2761;0.5980;
2.680;0.2761;0.6024;
2.700;0.2712;0.6112;
2.720;0.2712;0.5980;
2.740;0.2712;0.5496;
2.760;0.2705;0.6200;
2.780;0.2705;0.5980;
2.800;0.2701;0.5540;
2.820;0.2701;0.5364;
2.840;0.2701;0.5936;
2.860;0.2720;0.5012;
2.880;0.2720;0.6200;
2.900;0.2701;0.5760;
2.920;0.2701;0.4705;
2.940;0.2701;0.5144;
2.960;0.2669;0.5276;
2.980;0.2669;0.5628;
3.000;0.2596;0.5408;
3.020;0.2596;0.5012;
3.040;0.2596;0.5408;
3.060;0.2758;0.5760;
3.080;0.2758;0.5848;
3.100;0.2773;0.5716;
3.120;0.2773;0.4661;
3.140;0.2773;0.5144;
3.160;0.2711;0.5716;
3.180;0.2711;0.6375;
3.200;0.2720;0.5452;
3.220;0.2720;0.5760;
3.240;0.2720;0.5540;
3.260;0.2759;0.5716;
3.280;0.2759;0.6156;
3.300;0.2636;0.5452;
3.320;0.2636;0.5628;
3.340;0.2636;0.5628;
3.360;0.2744;0.6419;
3.380;0.2744;0.6200;
