time/ms;Fluo/V;P700 deltaI/I x10³;
-199.8000;0.2914;2.8609;
-199.5000;0.2914;2.8374;
-199.2000;0.2914;2.8140;
-198.9000;0.2922;2.8140;
-198.6000;0.2922;2.8140;
-198.3000;0.2922;2.8374;
-198.0000;0.2914;2.8374;
-197.7000;0.2922;2.8843;
-197.4000;0.2914;2.9312;
-197.1000;0.2898;2.8374;
-196.8000;0.2930;2.9547;
-196.5000;0.2914;2.9078;
-196.2000;0.2922;2.9781;
-195.9000;0.2914;2.8609;
-195.6000;0.2930;2.9547;
-195.3000;0.2914;2.9312;
-195.0000;0.2922;2.8843;
-194.7000;0.2922;2.9312;
-194.4000;0.2922;2.9312;
-194.1000;0.2922;2.8374;
-193.8000;0.2922;2.8843;
-193.5000;0.2914;2.9078;
-193.2000;0.2930;2.9078;
-192.9000;0.2906;2.8374;
-192.6000;0.2930;2.9078;
-192.3000;0.2922;2.8609;
-192.0000;0.2922;2.9078;
-191.7000;0.2914;2.9078;
-191.4000;0.2914;2.9312;
-191.1000;0.2914;2.8140;
-190.8000;0.2930;2.8843;
-190.5000;0.2914;2.8609;
-190.2000;0.2930;2.8843;
-189.9000;0.2906;2.8374;
-189.6000;0.2930;2.9078;
-189.3000;0.2914;2.8374;
-189.0000;0.2906;2.8374;
-188.7000;0.2930;2.8609;
-188.4000;0.2914;2.9078;
-188.1000;0.2914;2.8609;
-187.8000;0.2922;2.8843;
-187.5000;0.2914;2.9312;
-187.2000;0.2922;2.9547;
-186.9000;0.2914;2.8609;
-186.6000;0.2930;2.9547;
-186.3000;0.2914;2.9312;
-186.0000;0.2914;2.9078;
-185.7000;0.2922;2.9312;
-185.4000;0.2914;2.9078;
-185.1000;0.2898;2.8843;
-184.8000;0.2939;2.9312;
-184.5000;0.2930;2.8843;
-184.2000;0.2922;2.9312;
-183.9000;0.2906;2.8843;
-183.6000;0.2930;2.8843;
-183.3000;0.2914;2.7905;
-183.0000;0.2914;2.8374;
-182.7000;0.2922;2.8609;
-182.4000;0.2922;2.8843;
-182.1000;0.2930;2.8609;
-181.8000;0.2930;2.9312;
-181.5000;0.2930;2.9312;
-181.2000;0.2930;2.9547;
-180.9000;0.2914;2.8843;
-180.6000;0.2930;2.9781;
-180.3000;0.2914;2.9078;
-180.0000;0.2922;2.9078;
-179.7000;0.2922;2.8609;
-179.4000;0.2922;2.8609;
-179.1000;0.2914;2.9078;
-178.8000;0.2922;2.9312;
-178.5000;0.2922;2.8843;
-178.2000;0.2922;2.8843;
-177.9000;0.2906;2.8374;
-177.6000;0.2930;2.9547;
-177.3000;0.2898;2.8843;
-177.0000;0.2914;2.9078;
-176.7000;0.2922;2.8843;
-176.4000;0.2914;2.9078;
-176.1000;0.2914;2.8609;
-175.8000;0.2930;2.9078;
-175.5000;0.2930;2.9312;
-175.2000;0.2930;2.9312;
-174.9000;0.2914;2.8843;
-174.6000;0.2947;2.9547;
-174.3000;0.2906;2.8609;
-174.0000;0.2922;2.9078;
-173.7000;0.2914;2.9547;
-173.4000;0.2914;2.9078;
-173.1000;0.2906;2.9078;
-172.8000;0.2930;2.9781;
-172.5000;0.2922;2.9312;
-172.2000;0.2939;2.9781;
-171.9000;0.2906;2.8609;
-171.6000;0.2930;2.9312;
-171.3000;0.2914;2.8843;
-171.0000;0.2914;2.8609;
-170.7000;0.2922;2.9078;
-170.4000;0.2939;2.9547;
-170.1000;0.2914;2.9312;
-169.8000;0.2914;2.9078;
-169.5000;0.2922;2.9312;
-169.2000;0.2930;2.9312;
-168.9000;0.2906;2.8374;
-168.6000;0.2939;2.9078;
-168.3000;0.2906;2.8374;
-168.0000;0.2922;2.8843;
-167.7000;0.2914;2.8374;
-167.4000;0.2922;2.8140;
-167.1000;0.2914;2.7905;
-166.8000;0.2930;2.8140;
-166.5000;0.2922;2.8609;
-166.2000;0.2939;2.8843;
-165.9000;0.2898;2.7905;
-165.6000;0.2930;2.9312;
-165.3000;0.2922;2.8843;
-165.0000;0.2906;2.8609;
-164.7000;0.2922;2.8609;
-164.4000;0.2930;2.9312;
-164.1000;0.2922;2.9078;
-163.8000;0.2922;2.9312;
-163.5000;0.2922;2.9078;
-163.2000;0.2930;2.9547;
-162.9000;0.2906;2.9078;
-162.6000;0.2930;3.0016;
-162.3000;0.2906;2.8843;
-162.0000;0.2914;2.9078;
-161.7000;0.2939;2.9547;
-161.4000;0.2922;2.8843;
-161.1000;0.2914;2.8843;
-160.8000;0.2930;2.9312;
-160.5000;0.2922;2.9312;
-160.2000;0.2930;3.0250;
-159.9000;0.2914;2.8843;
-159.6000;0.2939;3.0016;
-159.3000;0.2914;2.8843;
-159.0000;0.2922;2.9312;
-158.7000;0.2914;2.9547;
-158.4000;0.2939;2.9312;
-158.1000;0.2922;2.8843;
-157.8000;0.2922;2.8843;
-157.5000;0.2922;2.9312;
-157.2000;0.2930;2.9078;
-156.9000;0.2914;2.8609;
-156.6000;0.2930;2.9078;
-156.3000;0.2922;2.8609;
-156.0000;0.2922;2.9547;
-155.7000;0.2882;2.9078;
-155.4000;0.2849;2.9547;
-155.1000;0.2800;2.9078;
-154.8000;0.2792;2.9078;
-154.5000;0.2776;2.9312;
-154.2000;0.2768;2.9547;
-153.9000;0.2743;2.9078;
-153.6000;0.2751;2.9781;
-153.3000;0.2743;2.9312;
-153.0000;0.2735;2.9547;
-152.7000;0.2743;3.0250;
-152.4000;0.2735;2.9312;
-152.1000;0.2727;2.9078;
-151.8000;0.2727;2.9078;
-151.5000;0.2735;2.9547;
-151.2000;0.2735;2.9312;
-150.9000;0.2719;2.9078;
-150.6000;0.2735;2.9781;
-150.3000;0.2727;2.9547;
-150.0000;0.2719;3.0016;
-149.7000;0.2719;2.9547;
-149.4000;0.2743;2.9781;
-149.1000;0.2727;2.9312;
-148.8000;0.2735;2.9547;
-148.5000;0.2735;2.9781;
-148.2000;0.2735;2.9547;
-147.9000;0.2719;2.9312;
-147.6000;0.2743;3.0016;
-147.3000;0.2719;2.9312;
-147.0000;0.2719;2.9312;
-146.7000;0.2735;2.9547;
-146.4000;0.2711;2.9781;
-146.1000;0.2727;2.9547;
-145.8000;0.2727;2.9078;
-145.5000;0.2727;2.9312;
-145.2000;0.2735;2.9312;
-144.9000;0.2711;2.8843;
-144.6000;0.2727;2.9312;
-144.3000;0.2719;2.8843;
-144.0000;0.2719;2.8374;
-143.7000;0.2735;2.9781;
-143.4000;0.2735;2.8374;
-143.1000;0.2719;2.8843;
-142.8000;0.2735;2.9078;
-142.5000;0.2727;2.9547;
-142.2000;0.2735;2.9781;
-141.9000;0.2711;2.9078;
-141.6000;0.2743;2.9312;
-141.3000;0.2727;2.8843;
-141.0000;0.2719;2.8843;
-140.7000;0.2759;2.9781;
-140.4000;0.2727;2.8843;
-140.1000;0.2727;2.8843;
-139.8000;0.2727;2.9078;
-139.5000;0.2735;2.9312;
-139.2000;0.2735;2.8609;
-138.9000;0.2719;2.8374;
-138.6000;0.2735;2.8374;
-138.3000;0.2711;2.8140;
-138.0000;0.2727;2.8609;
-137.7000;0.2719;2.8609;
-137.4000;0.2743;2.9078;
-137.1000;0.2735;2.8374;
-136.8000;0.2735;2.8843;
-136.5000;0.2735;2.9547;
