time/ms;Fluo/V;P700 deltaI/I x10³;
-199.8000;0.2784;2.6465;
-199.5000;0.2759;2.6027;
-199.2000;0.2759;2.6465;
-198.9000;0.2759;2.6465;
-198.6000;0.2776;2.6683;
-198.3000;0.2743;2.6027;
-198.0000;0.2743;2.6246;
-197.7000;0.2768;2.5809;
-197.4000;0.2759;2.6465;
-197.1000;0.2751;2.6465;
-196.8000;0.2743;2.6465;
-196.5000;0.2759;2.7121;
-196.2000;0.2751;2.6683;
-195.9000;0.2751;2.6246;
-195.6000;0.2768;2.6465;
-195.3000;0.2751;2.6027;
-195.0000;0.2751;2.6246;
-194.7000;0.2759;2.6246;
-194.4000;0.2759;2.6683;
-194.1000;0.2759;2.6902;
-193.8000;0.2751;2.6683;
-193.5000;0.2751;2.6683;
-193.2000;0.2743;2.6027;
-192.9000;0.2743;2.6465;
-192.6000;0.2759;2.6683;
-192.3000;0.2735;2.5590;
-192.0000;0.2759;2.6246;
-191.7000;0.2751;2.6683;
-191.4000;0.2759;2.6902;
-191.1000;0.2743;2.6027;
-190.8000;0.2776;2.6683;
-190.5000;0.2759;2.6902;
-190.2000;0.2751;2.6683;
-189.9000;0.2751;2.6902;
-189.6000;0.2776;2.7340;
-189.3000;0.2743;2.6465;
-189.0000;0.2751;2.6683;
-188.7000;0.2751;2.6465;
-188.4000;0.2759;2.6465;
-188.1000;0.2751;2.6246;
-187.8000;0.2759;2.6027;
-187.5000;0.2751;2.6246;
-187.2000;0.2743;2.5809;
-186.9000;0.2751;2.6246;
-186.6000;0.2768;2.6683;
-186.3000;0.2743;2.6027;
-186.0000;0.2751;2.6683;
-185.7000;0.2759;2.6465;
-185.4000;0.2768;2.6902;
-185.1000;0.2751;2.7121;
-184.8000;0.2751;2.6902;
-184.5000;0.2751;2.6902;
-184.2000;0.2759;2.6683;
-183.9000;0.2751;2.6027;
-183.6000;0.2759;2.6027;
-183.3000;0.2743;2.5590;
-183.0000;0.2743;2.6027;
-182.7000;0.2759;2.6027;
-182.4000;0.2768;2.6465;
-182.1000;0.2751;2.6246;
-181.8000;0.2759;2.6683;
-181.5000;0.2759;2.6246;
-181.2000;0.2768;2.6465;
-180.9000;0.2743;2.6683;
-180.6000;0.2759;2.6683;
-180.3000;0.2743;2.5809;
-180.0000;0.2751;2.6683;
-179.7000;0.2759;2.7121;
-179.4000;0.2759;2.7121;
-179.1000;0.2751;2.6683;
-178.8000;0.2751;2.6683;
-178.5000;0.2759;2.6902;
-178.2000;0.2759;2.6902;
-177.9000;0.2743;2.6465;
-177.6000;0.2768;2.6683;
-177.3000;0.2751;2.6027;
-177.0000;0.2776;2.6683;
-176.7000;0.2751;2.6465;
-176.4000;0.2759;2.6683;
-176.1000;0.2743;2.6683;
-175.8000;0.2759;2.6465;
-175.5000;0.2759;2.6465;
-175.2000;0.2759;2.6465;
-174.9000;0.2759;2.6027;
-174.6000;0.2768;2.6465;
-174.3000;0.2751;2.6027;
-174.0000;0.2759;2.6027;
-173.7000;0.2743;2.5809;
-173.4000;0.2759;2.6027;
-173.1000;0.2751;2.6027;
-172.8000;0.2751;2.6465;
-172.5000;0.2759;2.6246;
-172.2000;0.2743;2.6465;
-171.9000;0.2743;2.6027;
-171.6000;0.2759;2.6465;
-171.3000;0.2751;2.6246;
-171.0000;0.2784;2.6902;
-170.7000;0.2751;2.6246;
-170.4000;0.2768;2.6683;
-170.1000;0.2743;2.6683;
-169.8000;0.2751;2.6465;
-169.5000;0.2759;2.6465;
-169.2000;0.2759;2.6465;
-168.9000;0.2759;2.6465;
-168.6000;0.2759;2.6683;
-168.3000;0.2743;2.6246;
-168.0000;0.2776;2.6465;
-167.7000;0.2751;2.6246;
-167.4000;0.2759;2.6465;
-167.1000;0.2768;2.6027;
-166.8000;0.2751;2.6465;
-166.5000;0.2751;2.6465;
-166.2000;0.2751;2.6465;
-165.9000;0.2751;2.6246;
-165.6000;0.2768;2.6465;
-165.3000;0.2751;2.5809;
-165.0000;0.2776;2.6902;
-164.7000;0.2759;2.5809;
-164.4000;0.2751;2.6027;
-164.1000;0.2751;2.6465;
-163.8000;0.2759;2.6246;
-163.5000;0.2768;2.6465;
-163.2000;0.2751;2.5809;
-162.9000;0.2743;2.6246;
-162.6000;0.2759;2.6027;
-162.3000;0.2751;2.6027;
-162.0000;0.2759;2.6465;
-161.7000;0.2751;2.5809;
-161.4000;0.2759;2.6246;
-161.1000;0.2743;2.5371;
-160.8000;0.2751;2.6246;
-160.5000;0.2743;2.5809;
-160.2000;0.2759;2.6465;
-159.9000;0.2759;2.6465;
-159.6000;0.2759;2.6027;
-159.3000;0.2751;2.6027;
-159.0000;0.2776;2.6683;
-158.7000;0.2751;2.6027;
-158.4000;0.2751;2.6465;
-158.1000;0.2768;2.6246;
-157.8000;0.2743;2.6465;
-157.5000;0.2768;2.6683;
-157.2000;0.2727;2.5371;
-156.9000;0.2751;2.6027;
-156.6000;0.2751;2.6465;
-156.3000;0.2751;2.6465;
-156.0000;0.2768;2.7121;
-155.7000;0.2751;2.6465;
-155.4000;0.2759;2.6683;
-155.1000;0.2759;2.6465;
-154.8000;0.2751;2.6683;
-154.5000;0.2759;2.6683;
-154.2000;0.2751;2.6246;
-153.9000;0.2751;2.6246;
-153.6000;0.2759;2.6027;
-153.3000;0.2759;2.6246;
-153.0000;0.2759;2.6465;
-152.7000;0.2751;2.6465;
-152.4000;0.2759;2.6246;
-152.1000;0.2759;2.6246;
-151.8000;0.2768;2.6465;
-151.5000;0.2768;2.6683;
-151.2000;0.2743;2.5809;
-150.9000;0.2751;2.6465;
-150.6000;0.2759;2.6246;
-150.3000;0.2751;2.5590;
-150.0000;0.2776;2.6246;
-149.7000;0.2768;2.6246;
-149.4000;0.2792;2.6246;
-149.1000;0.2808;2.6246;
-148.8000;0.2825;2.6683;
-148.5000;0.2833;2.6465;
-148.2000;0.2849;2.7121;
-147.9000;0.2857;2.7121;
-147.6000;0.2849;2.6465;
-147.3000;0.2865;2.6465;
-147.0000;0.2882;2.6902;
-146.7000;0.2857;2.6246;
-146.4000;0.2857;2.6465;
-146.1000;0.2865;2.6246;
-145.8000;0.2865;2.5809;
-145.5000;0.2882;2.6465;
-145.2000;0.2841;2.5809;
-144.9000;0.2873;2.6465;
-144.6000;0.2865;2.6465;
-144.3000;0.2865;2.6465;
-144.0000;0.2882;2.7121;
-143.7000;0.2865;2.6465;
-143.4000;0.2873;2.6465;
-143.1000;0.2865;2.6902;
-142.8000;0.2865;2.6902;
-142.5000;0.2865;2.6683;
-142.2000;0.2865;2.6465;
-141.9000;0.2865;2.6465;
-141.6000;0.2873;2.6683;
-141.3000;0.2873;2.6902;
-141.0000;0.2882;2.7121;
-140.7000;0.2865;2.6902;
-140.4000;0.2857;2.6683;
-140.1000;0.2849;2.6465;
-139.8000;0.2873;2.6902;
-139.5000;0.2849;2.5809;
-139.2000;0.2882;2.6683;
-138.9000;0.2865;2.6465;
-138.6000;0.2873;2.6683;
-138.3000;0.2873;2.6683;
