time/ms;Fluo/V;P700 deltaI/I x10³;
-199.8000;0.3753;1.3275;
-199.5000;0.3753;1.3749;
-199.2000;0.3712;1.3275;
-198.9000;0.3720;1.3749;
-198.6000;0.3728;1.3749;
-198.3000;0.3704;1.3749;
-198.0000;0.3720;1.3986;
-197.7000;0.3704;1.3512;
-197.4000;0.3720;1.3512;
-197.1000;0.3712;1.3038;
-196.8000;0.3704;1.3038;
-196.5000;0.3712;1.3275;
-196.2000;0.3696;1.3275;
-195.9000;0.3696;1.3275;
-195.6000;0.3704;1.3275;
-195.3000;0.3696;1.3275;
-195.0000;0.3728;1.3986;
-194.7000;0.3696;1.3986;
-194.4000;0.3704;1.3986;
-194.1000;0.3712;1.3986;
-193.8000;0.3704;1.3986;
-193.5000;0.3704;1.3749;
-193.2000;0.3696;1.3038;
-192.9000;0.3704;1.3038;
-192.6000;0.3704;1.3512;
-192.3000;0.3687;1.2801;
-192.0000;0.3712;1.3749;
-191.7000;0.3696;1.3275;
-191.4000;0.3704;1.3749;
-191.1000;0.3696;1.2801;
-190.8000;0.3704;1.2801;
-190.5000;0.3687;1.3275;
-190.2000;0.3712;1.3512;
-189.9000;0.3704;1.3512;
-189.6000;0.3712;1.3749;
-189.3000;0.3704;1.3512;
-189.0000;0.3704;1.3512;
-188.7000;0.3704;1.3512;
-188.4000;0.3704;1.3512;
-188.1000;0.3704;1.3512;
-187.8000;0.3704;1.3749;
-187.5000;0.3712;1.3986;
-187.2000;0.3696;1.3038;
-186.9000;0.3696;1.3275;
-186.6000;0.3696;1.3986;
-186.3000;0.3704;1.3275;
-186.0000;0.3720;1.3986;
-185.7000;0.3696;1.3512;
-185.4000;0.3712;1.3275;
-185.1000;0.3704;1.3038;
-184.8000;0.3712;1.3512;
-184.5000;0.3696;1.3038;
-184.2000;0.3712;1.3749;
-183.9000;0.3696;1.3749;
-183.6000;0.3696;1.3986;
-183.3000;0.3696;1.3749;
-183.0000;0.3712;1.4223;
-182.7000;0.3704;1.3512;
-182.4000;0.3704;1.3749;
-182.1000;0.3696;1.3512;
-181.8000;0.3704;1.3749;
-181.5000;0.3712;1.3986;
-181.2000;0.3712;1.3512;
-180.9000;0.3696;1.3986;
-180.6000;0.3696;1.3749;
-180.3000;0.3712;1.3512;
-180.0000;0.3704;1.3749;
-179.7000;0.3704;1.3512;
-179.4000;0.3704;1.3038;
-179.1000;0.3696;1.3038;
-178.8000;0.3712;1.3986;
-178.5000;0.3696;1.3749;
-178.2000;0.3728;1.3986;
-177.9000;0.3712;1.3512;
-177.6000;0.3687;1.3749;
-177.3000;0.3704;1.3986;
-177.0000;0.3712;1.4697;
-176.7000;0.3704;1.3749;
-176.4000;0.3704;1.3512;
-176.1000;0.3696;1.3512;
-175.8000;0.3696;1.3512;
-175.5000;0.3712;1.3512;
-175.2000;0.3696;1.3275;
-174.9000;0.3712;1.3275;
-174.6000;0.3696;1.3512;
-174.3000;0.3712;1.3512;
-174.0000;0.3696;1.3986;
-173.7000;0.3696;1.4223;
-173.4000;0.3704;1.4223;
-173.1000;0.3687;1.3986;
-172.8000;0.3696;1.4460;
-172.5000;0.3712;1.4460;
-172.2000;0.3696;1.3749;
-171.9000;0.3704;1.3749;
-171.6000;0.3704;1.3749;
-171.3000;0.3712;1.3749;
-171.0000;0.3712;1.3986;
-170.7000;0.3696;1.3275;
-170.4000;0.3704;1.3275;
-170.1000;0.3704;1.3275;
-169.8000;0.3720;1.3986;
-169.5000;0.3696;1.2801;
-169.2000;0.3720;1.3038;
-168.9000;0.3712;1.3038;
-168.6000;0.3696;1.3038;
-168.3000;0.3712;1.3512;
-168.0000;0.3720;1.3512;
-167.7000;0.3696;1.3275;
-167.4000;0.3696;1.3038;
-167.1000;0.3696;1.3038;
-166.8000;0.3704;1.3512;
-166.5000;0.3712;1.3512;
-166.2000;0.3704;1.3512;
-165.9000;0.3704;1.3749;
-165.6000;0.3696;1.3986;
-165.3000;0.3704;1.3986;
-165.0000;0.3704;1.3986;
-164.7000;0.3712;1.3749;
-164.4000;0.3696;1.3986;
-164.1000;0.3687;1.3512;
-163.8000;0.3712;1.3749;
-163.5000;0.3704;1.3512;
-163.2000;0.3712;1.3749;
-162.9000;0.3704;1.3749;
-162.6000;0.3696;1.3512;
-162.3000;0.3712;1.3749;
-162.0000;0.3696;1.3749;
-161.7000;0.3712;1.3986;
-161.4000;0.3696;1.3512;
-161.1000;0.3696;1.4223;
-160.8000;0.3687;1.3986;
-160.5000;0.3704;1.3986;
-160.2000;0.3712;1.4223;
-159.9000;0.3704;1.4223;
-159.6000;0.3687;1.3986;
-159.3000;0.3704;1.4223;
-159.0000;0.3720;1.3749;
-158.7000;0.3704;1.3512;
-158.4000;0.3696;1.2801;
-158.1000;0.3704;1.3038;
-157.8000;0.3712;1.3986;
-157.5000;0.3696;1.3275;
-157.2000;0.3728;1.4460;
-156.9000;0.3712;1.4223;
-156.6000;0.3687;1.3512;
-156.3000;0.3720;1.3986;
-156.0000;0.3704;1.4460;
-155.7000;0.3704;1.3986;
-155.4000;0.3704;1.3749;
-155.1000;0.3720;1.4223;
-154.8000;0.3704;1.3986;
-154.5000;0.3704;1.3986;
-154.2000;0.3712;1.4223;
-153.9000;0.3712;1.3986;
-153.6000;0.3696;1.3986;
-153.3000;0.3712;1.4223;
-153.0000;0.3704;1.3749;
-152.7000;0.3704;1.3986;
-152.4000;0.3704;1.3512;
-152.1000;0.3687;1.3512;
-151.8000;0.3712;1.3986;
-151.5000;0.3704;1.3512;
-151.2000;0.3712;1.3986;
-150.9000;0.3712;1.3986;
-150.6000;0.3696;1.3038;
-150.3000;0.3712;1.3749;
-150.0000;0.3712;1.3512;
-149.7000;0.3712;1.3275;
-149.4000;0.3728;1.3038;
-149.1000;0.3761;1.3512;
-148.8000;0.3785;1.4223;
-148.5000;0.3785;1.3749;
-148.2000;0.3793;1.4223;
-147.9000;0.3793;1.3986;
-147.6000;0.3793;1.3512;
-147.3000;0.3810;1.3986;
-147.0000;0.3810;1.3986;
-146.7000;0.3801;1.3749;
-146.4000;0.3777;1.3038;
-146.1000;0.3810;1.3512;
-145.8000;0.3801;1.3275;
-145.5000;0.3801;1.3275;
-145.2000;0.3801;1.3512;
-144.9000;0.3826;1.4223;
-144.6000;0.3793;1.3275;
-144.3000;0.3810;1.3986;
-144.0000;0.3801;1.3512;
-143.7000;0.3793;1.3275;
-143.4000;0.3793;1.3275;
-143.1000;0.3810;1.3749;
-142.8000;0.3826;1.3986;
-142.5000;0.3793;1.3275;
-142.2000;0.3826;1.3749;
-141.9000;0.3826;1.4223;
-141.6000;0.3793;1.3512;
-141.3000;0.3810;1.3749;
-141.0000;0.3801;1.3512;
-140.7000;0.3801;1.3275;
-140.4000;0.3785;1.2801;
-140.1000;0.3818;1.3512;
-139.8000;0.3793;1.3038;
-139.5000;0.3801;1.3275;
-139.2000;0.3810;1.3749;
-138.9000;0.3818;1.3986;
-138.6000;0.3793;1.3275;
-138.3000;0.3801;1.3749;
-138.0000;0.3801;1.3512;
-137.7000;0.3810;1.3749;
-137.4000;0.3785;1.3038;
-137.1000;0.3810;1.3986;
-136.8000;0.3810;1.3986;
-136.5000;0.3801;1.3749;
-136.2000;0.3810;1.3986;
-135.9000;0.3818;1.4460;
-135.6000;0.3801;1.3275;
-135.3000;0.3810;1.4223;
-135.0000;0.3793;1.3986;
-134.7000;0.3801;1.4460;
-134.4000;0.3785;1.3986;
-134.1000;0.3810;1.3749;
-133.8000;0.3793;1.3275;
-133.5000;0.3793;1.3749;
-133.2000;0.3810;1.4460;
-132.9000;0.3818;1.4697;
-132.6000;0.3793;1.3512;
-132.3000;0.3810;1.3512;
-132.0000;0.3801;1.3512;
-131.7000;0.3810;1.4223;
-131.4000;0.3785;1.3275;
-131.1000;0.3810;1.3986;
