time/ms;Fluo/V;P700 deltaI/I x10³;
-199.8000;0.3915;0.7035;
-199.5000;0.3923;0.7973;
-199.2000;0.3875;0.7269;
-198.9000;0.3867;0.7269;
-198.6000;0.3867;0.7504;
-198.3000;0.3891;0.7738;
-198.0000;0.3858;0.7504;
-197.7000;0.3875;0.7504;
-197.4000;0.3867;0.7504;
-197.1000;0.3875;0.7504;
-196.8000;0.3850;0.7504;
-196.5000;0.3875;0.7973;
-196.2000;0.3842;0.6566;
-195.9000;0.3850;0.7035;
-195.6000;0.3858;0.7269;
-195.3000;0.3875;0.8207;
-195.0000;0.3858;0.7035;
-194.7000;0.3867;0.7035;
-194.4000;0.3858;0.7269;
-194.1000;0.3875;0.7973;
-193.8000;0.3834;0.7035;
-193.5000;0.3875;0.8207;
-193.2000;0.3858;0.7738;
-192.9000;0.3858;0.7973;
-192.6000;0.3867;0.8207;
-192.3000;0.3850;0.7973;
-192.0000;0.3858;0.7269;
-191.7000;0.3858;0.7035;
-191.4000;0.3850;0.7035;
-191.1000;0.3875;0.7269;
-190.8000;0.3842;0.6800;
-190.5000;0.3875;0.7504;
-190.2000;0.3850;0.7504;
-189.9000;0.3850;0.7035;
-189.6000;0.3875;0.7269;
-189.3000;0.3850;0.6566;
-189.0000;0.3867;0.7269;
-188.7000;0.3867;0.7738;
-188.4000;0.3850;0.7504;
-188.1000;0.3883;0.7738;
-187.8000;0.3834;0.6331;
-187.5000;0.3875;0.7035;
-187.2000;0.3850;0.6331;
-186.9000;0.3858;0.6566;
-186.6000;0.3875;0.7269;
-186.3000;0.3842;0.6566;
-186.0000;0.3858;0.7035;
-185.7000;0.3867;0.7504;
-185.4000;0.3867;0.7504;
-185.1000;0.3875;0.7504;
-184.8000;0.3850;0.7035;
-184.5000;0.3867;0.7973;
-184.2000;0.3858;0.7269;
-183.9000;0.3858;0.6800;
-183.6000;0.3842;0.6800;
-183.3000;0.3867;0.7504;
-183.0000;0.3858;0.7035;
-182.7000;0.3858;0.7269;
-182.4000;0.3850;0.7269;
-182.1000;0.3875;0.7504;
-181.8000;0.3850;0.7035;
-181.5000;0.3875;0.7035;
-181.2000;0.3850;0.6800;
-180.9000;0.3858;0.7035;
-180.6000;0.3883;0.7738;
-180.3000;0.3850;0.6800;
-180.0000;0.3850;0.6566;
-179.7000;0.3867;0.7035;
-179.4000;0.3867;0.7269;
-179.1000;0.3875;0.7504;
