MC3;
time/s;Fluo/V;P700/V;
0.000;-0.0047;0.0200;
0.005;-0.0047;0.0214;
0.010;-0.0047;0.0194;
0.015;-0.0047;0.0203;
0.020;-0.0047;0.0191;
0.025;-0.0047;0.0206;
0.030;-0.0047;0.0206;
0.035;-0.0047;0.0200;
0.040;-0.0047;0.0205;
0.045;0.0003;0.0234;
0.050;0.0003;0.0226;
0.055;0.0003;0.0205;
0.060;0.0003;0.0198;
0.065;0.0003;0.0195;
0.070;0.0003;0.0218;
0.075;0.0003;0.0192;
0.080;0.0003;0.0208;
0.085;0.0003;0.0208;
0.090;0.0003;0.0214;
0.095;0.0006;0.0226;
0.100;0.0006;0.0186;
0.105;0.0006;0.0211;
0.110;0.0006;0.0223;
0.115;0.0006;0.0212;
0.120;0.0006;0.0186;
0.125;0.0006;0.0214;
0.130;0.0006;0.0217;
0.135;0.0006;0.0211;
0.140;0.0006;0.0214;
0.145;0.0009;0.0192;
0.150;0.0009;0.0214;
0.155;0.0009;0.0195;
0.160;0.0009;0.0206;
0.165;0.0009;0.0218;
0.170;0.0009;0.0205;
0.175;0.0009;0.0215;
0.180;0.0009;0.0223;
0.185;0.0009;0.0205;
0.190;0.0009;0.0211;
0.195;0.0008;0.0197;
0.200;0.0008;0.0203;
0.205;0.0008;0.0212;
0.210;0.0008;0.0215;
0.215;0.0008;0.0201;
0.220;0.0008;0.0217;
0.225;0.0008;0.0212;
0.230;0.0008;0.0205;
0.235;0.0008;0.0189;
0.240;0.0008;0.0221;
0.245;0.0046;0.0206;
0.250;0.0046;0.0221;
0.255;0.0046;0.0205;
0.260;0.0046;0.0205;
0.265;0.0046;0.0208;
0.270;0.0046;0.0211;
0.275;0.0046;0.0195;
0.280;0.0046;0.0192;
0.285;0.0046;0.0212;
0.290;0.0046;0.0201;
0.295;0.0061;0.0217;
0.300;0.0061;0.0218;
0.305;0.0061;0.0206;
0.310;0.0061;0.0200;
0.315;0.0061;0.0208;
0.320;0.0061;0.0186;
0.325;0.0061;0.0192;
0.330;0.0061;0.0209;
0.335;0.0061;0.0211;
0.340;0.0061;0.0188;
0.345;-0.0005;0.0185;
0.350;-0.0005;0.0208;
0.355;-0.0005;0.0186;
0.360;-0.0005;0.0198;
