MC5;
time/s;Fluo/V;P700/V;
0.000;0.2706;0.0183;
0.005;0.2706;0.0189;
0.010;0.2706;0.0201;
0.015;0.2706;0.0191;
0.020;0.2706;0.0197;
0.025;0.2706;0.0168;
0.030;0.2709;0.0177;
0.035;0.2709;0.0188;
0.040;0.2709;0.0197;
0.045;0.2709;0.0194;
0.050;0.2709;0.0188;
0.055;0.2709;0.0185;
0.060;0.2709;0.0183;
0.065;0.2709;0.0188;
0.070;0.2709;0.0220;
0.075;0.2709;0.0229;
0.080;0.2695;0.0189;
0.085;0.2695;0.0191;
0.090;0.2695;0.0212;
0.095;0.2695;0.0197;
0.100;0.2695;0.0197;
0.105;0.2695;0.0201;
0.110;0.2695;0.0203;
0.115;0.2695;0.0186;
0.120;0.2695;0.0192;
0.125;0.2695;0.0212;
0.130;0.2688;0.0189;
0.135;0.2688;0.0189;
0.140;0.2688;0.0195;
0.145;0.2688;0.0217;
0.150;0.2688;0.0180;
0.155;0.2688;0.0212;
0.160;0.2688;0.0214;
0.165;0.2688;0.0203;
0.170;0.2688;0.0197;
0.175;0.2688;0.0194;
0.180;0.2793;0.0194;
0.185;0.2793;0.0189;
0.190;0.2793;0.0195;
0.195;0.2793;0.0186;
0.200;0.2793;0.0195;
0.205;0.2793;0.0177;
0.210;0.2793;0.0192;
0.215;0.2793;0.0194;
0.220;0.2793;0.0186;
0.225;0.2793;0.0209;
0.230;0.2729;0.0183;
0.235;0.2729;0.0209;
0.240;0.2729;0.0209;
0.245;0.2729;0.0189;
0.250;0.2729;0.0194;
0.255;0.2729;0.0183;
0.260;0.2729;0.0214;
0.265;0.2729;0.0189;
0.270;0.2729;0.0179;
0.275;0.2729;0.0174;
0.280;0.2700;0.0186;
0.285;0.2700;0.0194;
0.290;0.2700;0.0203;
0.295;0.2700;0.0201;
0.300;0.2700;0.0189;
0.305;0.2700;0.0179;
0.310;0.2700;0.0188;
0.315;0.2700;0.0195;
0.320;0.2700;0.0209;
0.325;0.2700;0.0206;
0.330;0.2705;0.0194;
0.335;0.2705;0.0183;
0.340;0.2705;0.0209;
0.345;0.2705;0.0203;
0.350;0.2705;0.0176;
0.355;0.2705;0.0223;
0.360;0.2705;0.0192;
0.365;0.2705;0.0197;
0.370;0.2705;0.0223;
0.375;0.2705;0.0218;
0.380;0.2703;0.0180;
0.385;0.2703;0.0194;
0.390;0.2703;0.0209;
0.395;0.2703;0.0191;
0.400;0.2703;0.0188;
0.405;0.2703;0.0195;
0.410;0.2703;0.0209;
0.415;0.2703;0.0195;
0.420;0.2703;0.0182;
0.425;0.2703;0.0208;
0.430;0.2735;0.0194;
