MC3;
time/s;Fluo/V;P700/V;
0.000;-0.0018;0.0209;
0.005;-0.0018;0.0205;
0.010;-0.0018;0.0208;
0.015;-0.0018;0.0211;
0.020;-0.0018;0.0224;
0.025;-0.0018;0.0229;
0.030;-0.0018;0.0240;
0.035;-0.0055;0.0229;
0.040;-0.0055;0.0217;
0.045;-0.0055;0.0208;
0.050;-0.0055;0.0209;
0.055;-0.0055;0.0201;
0.060;-0.0055;0.0198;
0.065;-0.0055;0.0232;
0.070;-0.0055;0.0197;
0.075;-0.0055;0.0209;
0.080;-0.0055;0.0244;
0.085;0.0037;0.0229;
0.090;0.0037;0.0227;
0.095;0.0037;0.0215;
0.100;0.0037;0.0206;
0.105;0.0037;0.0223;
0.110;0.0037;0.0203;
0.115;0.0037;0.0209;
0.120;0.0037;0.0201;
0.125;0.0037;0.0223;
0.130;0.0037;0.0230;
0.135;0.0040;0.0218;
0.140;0.0040;0.0215;
0.145;0.0040;0.0223;
0.150;0.0040;0.0230;
0.155;0.0040;0.0203;
0.160;0.0040;0.0224;
0.165;0.0040;0.0220;
0.170;0.0040;0.0208;
0.175;0.0040;0.0211;
0.180;0.0040;0.0212;
0.185;0.0127;0.0205;
0.190;0.0127;0.0208;
0.195;0.0127;0.0212;
0.200;0.0127;0.0209;
0.205;0.0127;0.0205;
0.210;0.0127;0.0192;
0.215;0.0127;0.0224;
0.220;0.0127;0.0206;
0.225;0.0127;0.0226;
0.230;0.0127;0.0212;
0.235;-0.0031;0.0203;
0.240;-0.0031;0.0218;
0.245;-0.0031;0.0200;
0.250;-0.0031;0.0217;
0.255;-0.0031;0.0220;
0.260;-0.0031;0.0198;
0.265;-0.0031;0.0221;
0.270;-0.0031;0.0214;
0.275;-0.0031;0.0209;
0.280;-0.0031;0.0209;
0.285;0.0066;0.0214;
0.290;0.0066;0.0215;
0.295;0.0066;0.0221;
0.300;0.0066;0.0217;
0.305;0.0066;0.0205;
0.310;0.0066;0.0211;
0.315;0.0066;0.0229;
0.320;0.0066;0.0230;
0.325;0.0066;0.0200;
0.330;0.0066;0.0223;
0.335;0.0050;0.0234;
0.340;0.0050;0.0215;
0.345;0.0050;0.0214;
0.350;0.0050;0.0224;
0.355;0.0050;0.0227;
0.360;0.0050;0.0217;
0.365;0.0050;0.0206;
0.370;0.0050;0.0215;
0.375;0.0050;0.0195;
0.380;0.0050;0.0205;
0.385;0.0002;0.0217;
0.390;0.0002;0.0224;
0.395;0.0002;0.0218;
0.400;0.0002;0.0217;
0.405;0.0002;0.0209;
0.410;0.0002;0.0206;
0.415;0.0002;0.0206;
0.420;0.0002;0.0206;
0.425;0.0002;0.0195;
0.430;0.0002;0.0212;
0.435;0.0069;0.0195;
0.440;0.0069;0.0211;
0.445;0.0069;0.0206;
0.450;0.0069;0.0208;
0.455;0.0069;0.0191;
0.460;0.0069;0.0185;
0.465;0.0069;0.0211;
0.470;0.0069;0.0203;
0.475;0.0069;0.0194;
0.480;0.0069;0.0177;
0.485;0.0038;0.0206;
0.490;0.0038;0.0189;
0.495;0.0038;0.0162;
0.500;0.0038;0.0218;
0.505;0.0038;0.0192;
0.510;0.0038;0.0192;
0.515;0.0038;0.0191;
0.520;0.0038;0.0198;
0.525;0.0038;0.0223;
0.530;0.0038;0.0215;
0.535;-0.0018;0.0201;
0.540;-0.0018;0.0218;
0.545;-0.0018;0.0205;
0.550;-0.0018;0.0212;
0.555;-0.0018;0.0194;
0.560;-0.0018;0.0212;
0.565;-0.0018;0.0205;
0.570;-0.0018;0.0200;
0.575;-0.0018;0.0197;
0.580;-0.0018;0.0234;
0.585;-0.0066;0.0218;
0.590;-0.0066;0.0230;
0.595;-0.0066;0.0211;
0.600;-0.0066;0.0214;
0.605;-0.0066;0.0209;
0.610;-0.0066;0.0191;
0.615;-0.0066;0.0215;
0.620;-0.0066;0.0218;
0.625;-0.0066;0.0183;
0.630;-0.0066;0.0205;
0.635;-0.0044;0.0224;
0.640;-0.0044;0.0215;
0.645;-0.0044;0.0217;
0.650;-0.0044;0.0185;
0.655;-0.0044;0.0203;
0.660;-0.0044;0.0215;
0.665;-0.0044;0.0203;
0.670;-0.0044;0.0209;
0.675;-0.0044;0.0223;
0.680;-0.0044;0.0197;
0.685;-0.0063;0.0197;
0.690;-0.0063;0.0218;
0.695;-0.0063;0.0183;
0.700;-0.0063;0.0234;
0.705;-0.0063;0.0209;
0.710;-0.0063;0.0206;
0.715;-0.0063;0.0208;
0.720;-0.0063;0.0234;
0.725;-0.0063;0.0214;
0.730;-0.0063;0.0215;
0.735;-0.0058;0.0230;
0.740;-0.0058;0.0211;
0.745;-0.0058;0.0212;
0.750;-0.0058;0.0217;
0.755;-0.0058;0.0203;
0.760;-0.0058;0.0183;
0.765;-0.0058;0.0188;
0.770;-0.0058;0.0214;
0.775;-0.0058;0.0180;
0.780;-0.0058;0.0186;
0.785;-0.0070;0.0229;
0.790;-0.0070;0.0200;
0.795;-0.0070;0.0212;
0.800;-0.0070;0.0215;
0.805;-0.0070;0.0201;
0.810;-0.0070;0.0224;
0.815;-0.0070;0.0201;
0.820;-0.0070;0.0211;
0.825;-0.0070;0.0214;
0.830;-0.0070;0.0211;
0.835;0.0055;0.0230;
0.840;0.0055;0.0234;
0.845;0.0055;0.0232;
0.850;0.0055;0.0227;
0.855;0.0055;0.0209;
0.860;0.0055;0.0223;
0.865;0.0055;0.0211;
0.870;0.0055;0.0220;
0.875;0.0055;0.0217;
0.880;0.0055;0.0206;
0.885;0.0043;0.0246;
0.890;0.0043;0.0214;
0.895;0.0043;0.0198;
0.900;0.0043;0.0205;
0.905;0.0043;0.0232;
0.910;0.0043;0.0200;
0.915;0.0043;0.0224;
0.920;0.0043;0.0212;
0.925;0.0043;0.0203;
0.930;0.0043;0.0201;
0.935;-0.0006;0.0217;
0.940;-0.0006;0.0212;
0.945;-0.0006;0.0205;
0.950;-0.0006;0.0211;
0.955;-0.0006;0.0217;
0.960;-0.0006;0.0212;
0.965;-0.0006;0.0172;
0.970;-0.0006;0.0218;
0.975;-0.0006;0.0215;
0.980;-0.0006;0.0194;
0.985;-0.0058;0.0217;
0.990;-0.0058;0.0227;
0.995;-0.0058;0.0211;
1.000;-0.0058;0.0217;
1.005;-0.0058;0.0209;
1.010;-0.0058;0.0244;
1.015;-0.0058;0.0549;
1.020;-0.0058;0.0582;
1.025;-0.0058;0.0568;
1.030;-0.0061;0.0571;
1.035;-0.0061;0.0560;
1.040;-0.0061;0.0580;
1.045;-0.0061;0.0572;
1.050;-0.0061;0.0560;
1.055;-0.0061;0.0600;
1.060;-0.0061;0.0566;
1.065;-0.0061;0.0556;
1.070;-0.0061;0.0557;
1.075;-0.0061;0.0559;
1.080;-0.0020;0.0574;
1.085;-0.0020;0.0556;
1.090;-0.0020;0.0569;
1.095;-0.0020;0.0562;
1.100;-0.0020;0.0554;
1.105;-0.0020;0.0588;
1.110;-0.0020;0.0574;
1.115;-0.0020;0.0565;
1.120;-0.0020;0.0565;
1.125;-0.0020;0.0568;
1.130;-0.0034;0.0562;
1.135;-0.0034;0.0569;
1.140;-0.0034;0.0574;
1.145;-0.0034;0.0565;
1.150;-0.0034;0.0585;
1.155;-0.0034;0.0557;
1.160;-0.0034;0.0548;
1.165;-0.0034;0.0563;
1.170;-0.0034;0.0557;
1.175;-0.0034;0.0565;
1.180;-0.0073;0.0565;
1.185;-0.0073;0.0586;
1.190;-0.0073;0.0562;
1.195;-0.0073;0.0586;
1.200;-0.0073;0.0582;
1.205;-0.0073;0.0565;
1.210;-0.0073;0.0586;
1.215;-0.0073;0.0565;
1.220;-0.0073;0.0556;
1.225;-0.0073;0.0559;
1.230;0.0032;0.0568;
1.235;0.0032;0.0546;
1.240;0.0032;0.0557;
1.245;0.0032;0.0574;
