time/ms;Fluo/V;P700 deltaI/I x10³;
-199.8000;0.2442;1.1086;
-199.5000;0.2401;1.0828;
-199.2000;0.2393;1.1086;
-198.9000;0.2369;1.0828;
-198.6000;0.2393;1.1086;
-198.3000;0.2352;1.0312;
-198.0000;0.2361;1.0570;
-197.7000;0.2361;1.1086;
-197.4000;0.2344;1.0570;
-197.1000;0.2352;1.0828;
-196.8000;0.2369;1.1343;
-196.5000;0.2361;1.1343;
-196.2000;0.2361;1.0828;
-195.9000;0.2344;1.0570;
-195.6000;0.2369;1.1086;
-195.3000;0.2344;1.0054;
-195.0000;0.2352;1.0570;
-194.7000;0.2361;1.1086;
-194.4000;0.2344;1.0570;
-194.1000;0.2352;1.0828;
-193.8000;0.2369;1.1859;
-193.5000;0.2361;1.0828;
-193.2000;0.2361;1.1086;
-192.9000;0.2344;1.0570;
-192.6000;0.2377;1.1343;
-192.3000;0.2344;1.1343;
-192.0000;0.2352;1.1343;
-191.7000;0.2369;1.1601;
-191.4000;0.2336;1.0312;
-191.1000;0.2361;1.0312;
-190.8000;0.2352;1.1086;
-190.5000;0.2352;1.1086;
-190.2000;0.2344;1.0828;
-189.9000;0.2352;1.1086;
-189.6000;0.2361;1.1601;
-189.3000;0.2344;1.1343;
-189.0000;0.2352;1.1086;
-188.7000;0.2361;1.1601;
-188.4000;0.2336;1.0312;
-188.1000;0.2361;1.0828;
-187.8000;0.2361;1.1859;
-187.5000;0.2361;1.1601;
-187.2000;0.2328;1.1086;
-186.9000;0.2361;1.2117;
-186.6000;0.2344;1.1086;
-186.3000;0.2352;1.1086;
-186.0000;0.2352;1.1086;
-185.7000;0.2369;1.1343;
-185.4000;0.2352;1.1086;
-185.1000;0.2352;1.1343;
-184.8000;0.2361;1.1343;
-184.5000;0.2361;1.0828;
-184.2000;0.2344;1.1086;
-183.9000;0.2344;1.1086;
-183.6000;0.2352;1.1343;
-183.3000;0.2344;1.1601;
-183.0000;0.2352;1.1343;
-182.7000;0.2369;1.1601;
-182.4000;0.2344;1.0312;
-182.1000;0.2352;1.0828;
-181.8000;0.2352;1.1086;
-181.5000;0.2361;1.1086;
-181.2000;0.2352;1.0828;
-180.9000;0.2352;1.0570;
-180.6000;0.2352;1.1086;
-180.3000;0.2344;1.0570;
-180.0000;0.2352;1.1086;
-179.7000;0.2369;1.1343;
-179.4000;0.2344;1.0828;
-179.1000;0.2361;1.1859;
-178.8000;0.2369;1.1086;
-178.5000;0.2361;1.1601;
-178.2000;0.2344;1.0570;
-177.9000;0.2344;1.1086;
-177.6000;0.2361;1.1086;
-177.3000;0.2344;1.0570;
-177.0000;0.2344;1.0828;
-176.7000;0.2369;1.1601;
-176.4000;0.2344;1.0312;
-176.1000;0.2352;1.1343;
-175.8000;0.2352;1.0570;
-175.5000;0.2361;1.1601;
-175.2000;0.2328;1.0828;
-174.9000;0.2361;1.0570;
-174.6000;0.2361;1.1343;
-174.3000;0.2344;1.0570;
-174.0000;0.2361;1.1086;
-173.7000;0.2361;1.1859;
-173.4000;0.2344;1.0570;
-173.1000;0.2369;1.1601;
-172.8000;0.2344;1.1343;
-172.5000;0.2369;1.1343;
-172.2000;0.2336;1.0312;
-171.9000;0.2361;1.1086;
-171.6000;0.2352;1.0828;
-171.3000;0.2344;1.0054;
-171.0000;0.2344;1.1086;
-170.7000;0.2361;1.1601;
-170.4000;0.2344;1.0828;
-170.1000;0.2369;1.1859;
-169.8000;0.2361;1.0570;
-169.5000;0.2352;1.1086;
-169.2000;0.2344;1.0828;
-168.9000;0.2352;1.1601;
-168.6000;0.2361;1.1343;
-168.3000;0.2352;1.1086;
-168.0000;0.2336;1.0570;
-167.7000;0.2361;1.0828;
-167.4000;0.2352;1.0312;
-167.1000;0.2369;1.0828;
-166.8000;0.2344;1.0054;
-166.5000;0.2361;1.0570;
-166.2000;0.2344;1.0054;
