time/ms;Fluo/V;P700 deltaI/I x10³;
-199.8000;0.3346;1.3132;
-199.5000;0.3362;1.3601;
-199.2000;0.3337;1.2897;
-198.9000;0.3321;1.2428;
-198.6000;0.3362;1.3132;
-198.3000;0.3346;1.2897;
-198.0000;0.3346;1.3132;
-197.7000;0.3321;1.2428;
-197.4000;0.3362;1.3366;
-197.1000;0.3321;1.2897;
-196.8000;0.3329;1.2897;
-196.5000;0.3329;1.2663;
-196.2000;0.3362;1.3366;
-195.9000;0.3329;1.3132;
-195.6000;0.3337;1.3601;
-195.3000;0.3346;1.3366;
-195.0000;0.3346;1.3601;
-194.7000;0.3313;1.2663;
-194.4000;0.3346;1.3132;
-194.1000;0.3337;1.2663;
-193.8000;0.3337;1.2428;
-193.5000;0.3362;1.3366;
-193.2000;0.3321;1.2663;
-192.9000;0.3329;1.2897;
-192.6000;0.3346;1.3132;
-192.3000;0.3337;1.3601;
-192.0000;0.3346;1.3601;
-191.7000;0.3329;1.2897;
-191.4000;0.3354;1.3835;
-191.1000;0.3329;1.2897;
-190.8000;0.3346;1.3366;
-190.5000;0.3329;1.2663;
-190.2000;0.3362;1.3366;
-189.9000;0.3329;1.2428;
-189.6000;0.3337;1.3132;
-189.3000;0.3354;1.3601;
-189.0000;0.3346;1.3132;
-188.7000;0.3337;1.2663;
-188.4000;0.3337;1.2897;
-188.1000;0.3337;1.2428;
-187.8000;0.3321;1.2194;
-187.5000;0.3362;1.3366;
-187.2000;0.3321;1.2428;
-186.9000;0.3329;1.2663;
-186.6000;0.3337;1.2897;
-186.3000;0.3354;1.3835;
-186.0000;0.3337;1.3366;
-185.7000;0.3329;1.2663;
-185.4000;0.3354;1.3132;
-185.1000;0.3329;1.3132;
-184.8000;0.3329;1.3132;
-184.5000;0.3354;1.3366;
-184.2000;0.3337;1.2428;
-183.9000;0.3337;1.2194;
-183.6000;0.3337;1.2194;
-183.3000;0.3346;1.2897;
-183.0000;0.3337;1.2428;
-182.7000;0.3321;1.2194;
-182.4000;0.3346;1.2897;
-182.1000;0.3321;1.2897;
-181.8000;0.3329;1.3132;
-181.5000;0.3362;1.3601;
-181.2000;0.3346;1.2428;
-180.9000;0.3337;1.2194;
-180.6000;0.3337;1.2663;
-180.3000;0.3362;1.2897;
-180.0000;0.3346;1.2663;
-179.7000;0.3329;1.1959;
-179.4000;0.3354;1.2897;
-179.1000;0.3329;1.1725;
-178.8000;0.3346;1.2663;
-178.5000;0.3337;1.2428;
-178.2000;0.3362;1.2897;
-177.9000;0.3337;1.2194;
-177.6000;0.3337;1.2897;
-177.3000;0.3362;1.3366;
-177.0000;0.3354;1.3366;
-176.7000;0.3337;1.2428;
-176.4000;0.3354;1.3366;
-176.1000;0.3329;1.2897;
-175.8000;0.3321;1.2897;
-175.5000;0.3346;1.3835;
-175.2000;0.3321;1.3366;
-174.9000;0.3337;1.3366;
-174.6000;0.3337;1.3132;
-174.3000;0.3346;1.3835;
-174.0000;0.3337;1.3835;
-173.7000;0.3337;1.3132;
-173.4000;0.3346;1.3601;
-173.1000;0.3321;1.3366;
-172.8000;0.3346;1.3835;
-172.5000;0.3329;1.3132;
-172.2000;0.3346;1.3601;
-171.9000;0.3329;1.2897;
-171.6000;0.3337;1.3132;
-171.3000;0.3362;1.3835;
-171.0000;0.3346;1.3601;
-170.7000;0.3337;1.3132;
-170.4000;0.3346;1.3366;
-170.1000;0.3337;1.3132;
-169.8000;0.3329;1.2663;
-169.5000;0.3362;1.3601;
-169.2000;0.3346;1.2897;
-168.9000;0.3337;1.3366;
-168.6000;0.3337;1.3366;
-168.3000;0.3346;1.4070;
-168.0000;0.3337;1.3366;
-167.7000;0.3337;1.3132;
-167.4000;0.3354;1.3132;
-167.1000;0.3329;1.2428;
-166.8000;0.3346;1.2897;
-166.5000;0.3337;1.2897;
-166.2000;0.3362;1.3366;
-165.9000;0.3329;1.2663;
-165.6000;0.3354;1.3835;
-165.3000;0.3362;1.3835;
-165.0000;0.3346;1.3132;
-164.7000;0.3346;1.3132;
-164.4000;0.3329;1.3366;
-164.1000;0.3346;1.3366;
-163.8000;0.3329;1.3132;
-163.5000;0.3362;1.4070;
-163.2000;0.3346;1.3132;
-162.9000;0.3329;1.2663;
-162.6000;0.3329;1.3366;
-162.3000;0.3362;1.3366;
-162.0000;0.3346;1.3366;
-161.7000;0.3346;1.3366;
-161.4000;0.3337;1.3601;
-161.1000;0.3337;1.3835;
-160.8000;0.3329;1.3366;
-160.5000;0.3354;1.3835;
-160.2000;0.3346;1.3601;
-159.9000;0.3337;1.3601;
-159.6000;0.3329;1.3601;
-159.3000;0.3354;1.3601;
-159.0000;0.3337;1.2897;
-158.7000;0.3346;1.3366;
-158.4000;0.3346;1.3366;
-158.1000;0.3337;1.3132;
-157.8000;0.3346;1.3366;
-157.5000;0.3346;1.3132;
-157.2000;0.3354;1.3835;
-156.9000;0.3329;1.3132;
-156.6000;0.3329;1.2897;
-156.3000;0.3346;1.3601;
-156.0000;0.3329;1.2897;
-155.7000;0.3346;1.3366;
-155.4000;0.3354;1.3132;
-155.1000;0.3337;1.2428;
-154.8000;0.3329;1.1959;
-154.5000;0.3354;1.3132;
-154.2000;0.3346;1.3132;
-153.9000;0.3337;1.3132;
-153.6000;0.3346;1.3601;
-153.3000;0.3362;1.3835;
-153.0000;0.3329;1.2897;
-152.7000;0.3346;1.3601;
-152.4000;0.3346;1.3835;
-152.1000;0.3329;1.3366;
-151.8000;0.3362;1.3601;
-151.5000;0.3346;1.2897;
-151.2000;0.3362;1.3366;
-150.9000;0.3337;1.2897;
-150.6000;0.3329;1.3132;
-150.3000;0.3354;1.3132;
-150.0000;0.3337;1.2663;
-149.7000;0.3313;1.2194;
-149.4000;0.3272;1.2194;
-149.1000;0.3256;1.2663;
-148.8000;0.3232;1.2897;
-148.5000;0.3232;1.3366;
-148.2000;0.3215;1.3132;
-147.9000;0.3207;1.3835;
-147.6000;0.3207;1.3601;
-147.3000;0.3215;1.3835;
-147.0000;0.3183;1.2663;
-146.7000;0.3191;1.3132;
-146.4000;0.3191;1.2897;
-146.1000;0.3191;1.3366;
-145.8000;0.3191;1.3132;
-145.5000;0.3191;1.3835;
-145.2000;0.3191;1.3366;
-144.9000;0.3191;1.3835;
-144.6000;0.3183;1.3366;
-144.3000;0.3199;1.3835;
-144.0000;0.3183;1.2663;
-143.7000;0.3199;1.2897;
-143.4000;0.3183;1.2897;
-143.1000;0.3183;1.2663;
-142.8000;0.3207;1.2897;
-142.5000;0.3191;1.2897;
-142.2000;0.3199;1.3601;
-141.9000;0.3199;1.3132;
-141.6000;0.3183;1.2663;
-141.3000;0.3191;1.3132;
-141.0000;0.3183;1.2428;
-140.7000;0.3199;1.3601;
-140.4000;0.3191;1.3835;
-140.1000;0.3183;1.2897;
-139.8000;0.3191;1.3132;
-139.5000;0.3199;1.3132;
-139.2000;0.3191;1.3132;
-138.9000;0.3207;1.3132;
-138.6000;0.3183;1.2897;
-138.3000;0.3207;1.3132;
-138.0000;0.3166;1.2663;
-137.7000;0.3183;1.3366;
-137.4000;0.3183;1.2663;
-137.1000;0.3183;1.3132;
-136.8000;0.3191;1.3132;
-136.5000;0.3183;1.3366;
-136.2000;0.3183;1.3132;
-135.9000;0.3199;1.3132;
-135.6000;0.3191;1.2897;
-135.3000;0.3199;1.3366;
-135.0000;0.3166;1.1959;
-134.7000;0.3199;1.2663;
-134.4000;0.3183;1.2663;
