region,year1955,year1960,year1965,year1970,year1975,year1980,year1985,year1990,year1995,year2000,year2005,year2010
千代田区,"122,745","116,944","93,047","74,185","61,656","54,801","50,493","39,472","34,780","36,035","41,778","47,115"
中央区,"171,316","161,299","128,017","103,850","90,097","82,700","79,973","68,041","63,923","72,526","98,399","122,762"
港区,"254,592","267,024","241,539","223,978","209,492","201,257","194,591","158,499","144,885","159,398","185,861","205,131"
新宿区,"348,675","413,690","413,910","390,657","367,218","343,928","332,722","296,790","279,048","286,726","305,716","326,309"
文京区,"236,971","259,383","253,449","234,326","216,250","202,351","195,876","181,269","172,474","176,017","189,632","206,626"
台東区,"310,058","318,889","286,324","240,769","207,649","186,048","176,804","162,969","153,918","156,325","165,186","175,928"
墨田区,"305,590","331,843","317,856","281,237","250,714","232,796","229,986","222,944","215,681","215,979","231,173","247,606"
江東区,"277,971","351,053","359,672","355,835","355,382","362,270","388,927","385,159","365,604","376,840","420,845","460,819"
品川区,"373,341","427,859","423,015","397,302","366,058","346,247","357,732","344,611","325,377","324,608","346,357","365,302"
目黒区,"253,941","293,763","298,774","295,612","285,003","273,791","269,166","251,222","243,100","250,140","264,064","268,330"
大田区,"568,498","706,219","755,535","734,990","691,337","661,147","662,814","647,914","636,276","650,331","665,674","693,373"
世田谷区,"523,630","653,210","742,880","787,338","805,787","797,292","811,304","789,051","781,104","814,901","841,165","877,138"
渋谷区,"243,410","282,687","283,730","274,491","263,815","247,035","242,442","205,625","188,472","196,682","203,334","204,492"
中野区,"289,165","351,360","376,697","378,723","373,075","345,733","335,936","319,687","306,581","309,526","310,627","314,750"
杉並区,"405,665","487,210","536,792","553,016","560,716","542,449","539,842","529,485","515,803","522,103","528,587","549,569"
豊島区,"300,557","363,193","373,126","354,427","321,078","288,626","278,455","261,870","246,252","249,017","250,585","284,678"
北区,"351,532","418,603","452,064","431,219","419,996","387,458","367,579","354,647","334,127","326,764","330,412","335,544"
荒川区,"253,323","285,480","278,412","247,013","217,905","198,126","190,061","184,809","176,886","180,468","191,207","203,296"
板橋区,"311,225","412,605","477,007","471,777","498,286","498,266","505,556","518,943","511,415","513,575","523,083","535,824"
練馬区,"185,814","305,628","434,721","527,931","559,665","564,156","587,887","618,663","635,746","658,132","692,339","716,124"
足立区,"332,181","408,768","514,717","571,791","609,025","619,961","622,640","631,163","622,270","617,123","624,807","683,426"
葛飾区,"294,133","376,724","446,059","462,954","442,328","420,187","419,017","424,801","424,478","421,519","424,878","442,586"
