region,year1955,year1960,year1965,year1970,year1975,year1980,year1985,year1990,year1995,year2000,year2005,year2010
江戸川区,"254,771","316,593","405,139","446,758","473,656","495,231","514,812","565,939","589,414","619,953","653,944","678,967"
八王子市,"148,131","164,622","207,753","253,527","322,580","387,178","426,654","466,347","503,363","536,046","560,012","580,053"
立川市,"76,313","81,938","100,719","117,057","138,129","142,675","146,523","152,824","157,884","164,709","172,566","179,668"
武蔵野市,"94,948","120,337","133,516","136,959","139,508","136,910","138,783","139,077","135,051","135,746","137,525","138,734"
三鷹市,"69,466","98,038","135,873","155,693","164,950","164,526","166,252","165,564","165,721","171,612","177,016","186,083"
青梅市,"55,218","56,896","60,892","70,954","86,152","98,990","110,828","125,960","137,234","141,394","142,354","139,339"
府中市,"58,937","82,098","126,519","163,173","182,474","192,198","201,972","209,396","216,211","226,769","245,623","255,506"
昭島市,"38,519","44,805","59,655","75,662","83,864","89,344","97,543","105,372","107,292","106,532","110,143","112,297"
調布市,"45,362","68,621","118,004","157,488","175,924","180,548","191,071","197,677","198,574","204,759","216,119","223,593"
町田市,"58,342","71,269","115,918","202,801","255,305","295,405","321,188","349,050","360,525","377,494","405,534","426,987"
小金井市,"30,338","45,734","76,323","94,448","102,714","102,456","104,642","105,899","109,279","111,825","114,112","118,852"
小平市,"29,175","52,923","105,353","137,373","156,181","154,610","158,673","164,013","172,946","178,623","183,796","187,035"
日野市,"27,305","43,394","67,979","98,557","126,847","145,448","156,031","165,928","166,537","167,942","176,538","180,052"
東村山市,"24,102","42,946","74,857","96,545","112,649","119,363","123,798","134,002","135,112","142,290","144,929","153,557"
国分寺市,"25,755","39,098","64,645","81,259","88,159","91,010","95,467","100,982","105,786","111,404","117,604","120,650"
国立市,"23,125","32,609","43,477","59,709","64,495","64,144","64,881","65,833","66,719","72,187","72,667","75,510"
福生市,"19,096","21,998","30,790","37,938","46,457","48,694","51,478","58,062","61,497","61,427","61,074","59,796"
狛江市,"14,669","25,252","39,978","60,297","70,043","70,836","73,784","74,189","74,656","75,711","78,319","78,751"
東大和市,"12,975","14,239","31,709","46,173","58,464","65,553","69,881","75,132","76,355","77,212","79,353","83,068"
清瀬市,"14,544","17,863","36,448","51,911","60,574","61,913","65,066","67,539","67,386","68,037","73,529","74,104"
東久留米市,"10,319","19,637","47,251","78,075","100,821","106,556","110,079","113,818","111,097","113,302","115,330","116,546"
武蔵村山市,"11,799","12,065","14,029","41,275","50,842","57,198","60,930","65,562","67,015","66,052","66,553","70,053"
多摩市,"7,600","9,746","18,376","30,370","65,466","95,248","122,135","144,489","148,113","145,862","145,877","147,648"
稲城市,"10,086","11,012","19,345","30,817","43,924","48,154","50,766","58,635","62,806","69,235","76,492","84,835"
羽村市,"10,104","11,003","16,027","22,783","33,129","42,017","47,203","52,103","55,095","56,013","56,514","57,032"
あきる野市,"28,929","29,286","32,677","45,067","56,970","62,810","66,529","71,940","75,355","78,351","79,587","80,868"
西東京市,"42,777","78,091","120,416","144,660","158,979","158,235","162,899","170,290","175,073","180,885","189,735","196,511"
瑞穂町,"9,607","12,092","15,465","17,687","20,739","22,803","27,033","30,967","32,714","32,892","33,691","33,497"
日の出町,"8,305","8,047","8,086","8,835","11,463","13,854","15,787","16,444","16,701","16,631","15,941","16,650"
檜原村,"5,940","5,650","5,396","5,036","4,686","4,230","4,012","3,808","3,560","3,256","2,930","2,558"
奥多摩町,"15,594","13,785","13,082","11,733","10,559","9,808","9,273","8,752","8,257","7,575","6,741","6,045"
