region,year2010,year2015,year2020,year2025,year2030,year2035
千代田区,1738.8,1533.6,1495.2,1466.5,1446.2,1410.1
中央区,493.6,424.4,402.2,383.9,374.3,363.1
港区,432.0,400.9,391.5,383.7,378.6,370.3
新宿区,229.9,220.1,216.0,213.6,211.8,208.2
文京区,167.2,161.2,159.6,155.9,152.4,149.6
台東区,167.5,151.2,143.8,136.8,134.1,133.9
墨田区,112.8,112.9,112.8,112.4,112.1,111.8
江東区,119.1,119.9,120.7,120.7,121.1,120.6
品川区,144.3,142.9,142.9,143.0,141.9,139.9
目黒区,109.3,108.9,109.0,109.0,109.1,108.7
大田区,98.7,98.6,98.7,98.7,98.8,98.9
世田谷区,92.7,93.7,94.0,94.7,95.0,95.5
渋谷区,254.6,241.9,242.2,232.2,228.4,223.4
中野区,91.9,91.7,92.2,92.4,92.6,92.9
杉並区,87.4,86.3,86.9,87.7,88.4,89.0
豊島区,148.6,143.4,139.0,138.4,138.2,137.3
北区,95.8,97.5,98.3,98.8,99.1,99.1
荒川区,94.3,93.4,93.2,92.7,92.4,92.1
板橋区,92.1,93.5,93.8,93.9,94.2,94.4
練馬区,82.1,82.1,81.9,81.7,81.7,82.1
足立区,89.1,90.7,90.9,91.1,91.7,92.1
葛飾区,85.0,87.3,88.0,88.4,88.9,89.7
江戸川区,84.1,85.5,85.4,85.8,86.5,87.0
八王子市,99.7,99.4,99.1,99.0,99.0,99.0
立川市,113.1,113.4,113.3,113.4,113.3,113.0
武蔵野市,110.5,108.8,108.4,108.7,108.5,107.5
三鷹市,89.4,89.5,89.3,89.3,89.3,89.6
青梅市,91.4,92.3,92.8,93.2,93.4,93.7
府中市,96.4,96.5,96.5,96.6,96.7,96.7
昭島市,89.3,88.6,88.5,88.5,88.4,88.6
調布市,87.7,87.9,88.2,88.5,88.8,89.3
町田市,91.0,91.5,91.8,92.1,92.3,92.6
小金井市,86.4,86.1,86.1,86.4,86.6,86.9
小平市,88.8,89.4,89.4,89.7,90.1,90.5
日野市,88.0,88.3,88.6,88.9,89.0,89.2
東村山市,81.6,82.7,83.0,83.4,83.8,84.3
国分寺市,83.5,83.5,83.6,83.9,84.3,84.8
国立市,97.5,96.4,95.8,95.8,95.8,95.8
福生市,86.3,86.7,87.0,87.4,87.8,88.4
狛江市,74.9,75.4,75.8,76.4,77.0,78.0
東大和市,79.4,79.0,78.7,78.6,78.6,79.0
清瀬市,83.4,84.3,84.6,84.8,84.9,85.3
東久留米市,80.1,81.2,81.6,82.0,82.3,82.7
武蔵村山市,92.2,93.5,94.1,94.4,94.4,94.5
多摩市,98.6,100.2,100.6,101.1,101.2,101.0
稲城市,79.6,80.7,81.3,81.9,82.4,83.1
羽村市,93.3,91.0,90.4,90.0,89.5,89.4
あきる野市,86.7,87.6,88.1,88.4,88.6,88.8
西東京市,80.0,81.0,81.2,81.4,81.9,82.5
瑞穂町,108.3,108.1,107.7,107.8,107.6,107.1
日の出町,95.8,99.4,100.8,100.9,102.3,102.0
檜原村,89.8,90.3,91.5,92.4,92.5,92.1
奥多摩町,95.1,96.5,97.0,97.6,97.4,97.2
